Model, MAE
ot_fusion_ZINC_acts_False_emd_0_feature_lp_tau_100_120samples_0trial.yaml,1.0717305913567543
MLP_ZINC_GPU-1_16h57m50s_on_Jan_07_2024_aligned_ZINC_acts_False_emd_0_feature_lp_tau_100_120samples_0trial.yaml,0.7024611532688141
ot_fusion_ZINC_acts_False_emd_0_feature_lp_tau_100_120samples_1trial.yaml,1.0473105609416962
MLP_ZINC_GPU-1_16h57m50s_on_Jan_07_2024_aligned_ZINC_acts_False_emd_0_feature_lp_tau_100_120samples_1trial.yaml,0.7024611234664917
ot_fusion_ZINC_acts_False_emd_0_feature_lp_tau_100_120samples_2trial.yaml,1.0266853049397469
MLP_ZINC_GPU-1_16h57m50s_on_Jan_07_2024_aligned_ZINC_acts_False_emd_0_feature_lp_tau_100_120samples_2trial.yaml,0.7024611458182335
ot_fusion_ZINC_acts_False_emd_0_feature_lp_tau_100_120samples_3trial.yaml,1.0659323260188103
MLP_ZINC_GPU-1_16h57m50s_on_Jan_07_2024_aligned_ZINC_acts_False_emd_0_feature_lp_tau_100_120samples_3trial.yaml,0.7024611383676529
ot_fusion_ZINC_acts_False_emd_0_feature_lp_tau_100_120samples_4trial.yaml,1.047724910080433
MLP_ZINC_GPU-1_16h57m50s_on_Jan_07_2024_aligned_ZINC_acts_False_emd_0_feature_lp_tau_100_120samples_4trial.yaml,0.7024611607193947
vanilla_fusion_ZINC.yaml,1.5932350009679794
MLP_ZINC_GPU-1_16h54m39s_on_Jan_07_2024.yaml,0.7072430327534676
MLP_ZINC_GPU-1_16h57m50s_on_Jan_07_2024.yaml,0.7024655491113663
ot_fusion_ZINC_acts_False_emd_0_feature_lp_tau_100_120samples_0trial_0finetuned.yaml,0.718927875161171
ot_fusion_ZINC_acts_False_emd_0_feature_lp_tau_100_120samples_0trial_20finetuned.yaml,0.7032511159777641
ot_fusion_ZINC_acts_False_emd_0_feature_lp_tau_100_120samples_0trial_40finetuned.yaml,0.7016249448060989
ot_fusion_ZINC_acts_False_emd_0_feature_lp_tau_100_120samples_1trial_0finetuned.yaml,0.7118945717811584
ot_fusion_ZINC_acts_False_emd_0_feature_lp_tau_100_120samples_1trial_20finetuned.yaml,0.7058063223958015
ot_fusion_ZINC_acts_False_emd_0_feature_lp_tau_100_120samples_1trial_40finetuned.yaml,0.7026191800832748
ot_fusion_ZINC_acts_False_emd_0_feature_lp_tau_100_120samples_2trial_0finetuned.yaml,0.7105255201458931
ot_fusion_ZINC_acts_False_emd_0_feature_lp_tau_100_120samples_2trial_20finetuned.yaml,0.7042844742536545
ot_fusion_ZINC_acts_False_emd_0_feature_lp_tau_100_120samples_2trial_40finetuned.yaml,0.7037989348173141
ot_fusion_ZINC_acts_False_emd_0_feature_lp_tau_100_120samples_3trial_0finetuned.yaml,0.712286151945591
ot_fusion_ZINC_acts_False_emd_0_feature_lp_tau_100_120samples_3trial_20finetuned.yaml,0.7066182270646095
ot_fusion_ZINC_acts_False_emd_0_feature_lp_tau_100_120samples_3trial_40finetuned.yaml,0.7006468698382378
ot_fusion_ZINC_acts_False_emd_0_feature_lp_tau_100_120samples_4trial_0finetuned.yaml,0.7139857485890388
ot_fusion_ZINC_acts_False_emd_0_feature_lp_tau_100_120samples_4trial_20finetuned.yaml,0.7046532034873962
ot_fusion_ZINC_acts_False_emd_0_feature_lp_tau_100_120samples_4trial_40finetuned.yaml,0.7046532034873962
vanilla_fusion_ZINC_0finetuned.yaml,0.7544166594743729
vanilla_fusion_ZINC_20finetuned.yaml,0.7173464968800545
vanilla_fusion_ZINC_40finetuned.yaml,0.7103826254606247
