Model, MAE
ot_fusion_MNIST_acts_True_emd_0_feature_lp_tau_100_100samples_1trial.yaml,0.3191
vanilla_fusion_MNIST.yaml,0.1712
ot_fusion_MNIST_acts_True_emd_0_feature_lp_tau_100_100samples_4trial.yaml,0.2177
ot_fusion_MNIST_acts_True_emd_0_feature_lp_tau_100_100samples_3trial.yaml,0.358
GCN_MNIST_GPU-1_11h39m56s_on_Jan_05_2024_aligned_MNIST_acts_True_emd_0_feature_lp_tau_100_100samples_4trial.yaml,0.7695
ot_fusion_MNIST_acts_True_emd_0_feature_lp_tau_100_100samples_0trial.yaml,0.3111
GCN_MNIST_GPU-1_11h04m16s_on_Jan_05_2024.yaml,0.7486
GCN_MNIST_GPU-1_11h39m56s_on_Jan_05_2024_aligned_MNIST_acts_True_emd_0_feature_lp_tau_100_100samples_2trial.yaml,0.7695
ot_fusion_MNIST_acts_True_emd_0_feature_lp_tau_100_100samples_2trial.yaml,0.3696
GCN_MNIST_GPU-1_11h39m56s_on_Jan_05_2024_aligned_MNIST_acts_True_emd_0_feature_lp_tau_100_100samples_0trial.yaml,0.7695
GCN_MNIST_GPU-1_11h39m56s_on_Jan_05_2024_aligned_MNIST_acts_True_emd_0_feature_lp_tau_100_100samples_1trial.yaml,0.7695
GCN_MNIST_GPU-1_11h39m56s_on_Jan_05_2024_aligned_MNIST_acts_True_emd_0_feature_lp_tau_100_100samples_3trial.yaml,0.7695
GCN_MNIST_GPU-1_11h39m56s_on_Jan_05_2024.yaml,0.7695
